'-0.282ETA_Epsilon_2+0.271MLogP+0.27 SpMin4_Bhm-0.261AATSC0s-0.251Mpe...',-0.309AATSC5c+0.298BCUTc-1l-0.296GATS6c-0.278AVP-2-0.217ATSC3e...,-0.365GGI9-0.345ALogp2-0.301SpMAD_Dze+0.273ETA_AlphaP-0.262ATSC3e...,-0.368nHaaCH-0.368naaCH-0.29AATS3p-0.274AATS0m-0.252maxHBint5...,-0.43SIC4-0.423BIC3-0.278GATS4p+0.271JGT+0.222BCUTc-1l...,'0.371MATS1c+0.345MATS5e_Exp+0.29 MATS3c+0.273AATSC7e_Exp-0.256GATS6c...',-0.411AATSC8c+0.376ATSC1i_Exp+0.293VR1_Dzv+0.271GATS8s_Exp-0.269VR1_D_Exp...,Results
2.197653,-1.401338,-2.939284,-0.211629,-0.731862,0.388838,-0.216236,1
-3.535736,-0.251891,2.795234,5.88048,-0.077184,-2.020705,1.232828,1
-5.071035,-2.452388,-0.155199,-0.334038,-1.955699,1.62159,1.130978,0
3.124883,-1.436169,0.112358,1.312306,-0.619607,1.302041,-0.277007,1
1.862039,-0.96309,0.42259,1.829312,-1.127473,1.466578,0.133226,1
0.926921,0.407963,-0.392087,1.12223,-0.359373,-0.052527,0.560583,1
3.240496,-0.135226,0.793054,-1.710433,1.023897,0.30374,0.972025,1
2.923975,-1.652342,0.792566,-0.008079,-1.334477,0.245387,0.101841,1
5.184662,-0.770936,3.156874,-1.500706,0.934972,2.508632,0.316275,1
-1.445906,0.668521,-1.674785,-2.083449,-1.782718,-0.839738,1.784539,0
1.283589,0.609216,0.273734,0.85393,-0.301127,1.367388,0.901085,1
-0.072692,0.538087,0.310077,-1.432195,0.904416,0.891101,1.019933,1
0.83799,0.014547,2.221344,0.224552,-0.90006,-0.781848,1.107869,1
-0.072069,-0.190837,0.389197,-4.256559,1.333541,-0.939877,-0.421361,0
0.540423,-0.077403,-1.484323,3.49377,4.144305,-0.156684,0.249912,0
1.675261,-1.687507,-0.024174,2.011198,0.013096,-0.573891,0.353885,0
2.407706,-0.751499,-1.325406,-2.348482,0.378434,0.269564,1.072698,0
1.533981,2.604988,-0.742919,0.753812,1.863908,-1.398151,1.165099,0
2.293842,-0.948456,-1.792415,-0.094068,-0.522299,0.776714,0.064352,0
3.062125,-0.029431,1.355714,0.276949,1.183205,-0.580975,0.410813,1
-2.0394,5.122623,-1.953657,0.36187,4.643826,0.529547,0.793941,0
2.154303,-0.442634,-0.86024,-2.36448,0.558959,1.601541,0.762609,0
2.381698,1.171622,0.587438,0.029987,-0.846324,1.376206,0.617335,0
-0.325472,0.118028,0.854364,-4.272557,1.514067,0.392099,-0.731451,0
2.279936,0.075458,2.404773,-2.439833,-1.091414,2.553982,0.709196,1
-1.901697,-0.256484,1.095137,-0.625409,-1.757204,0.631374,-0.877669,0
1.48179,0.966415,2.309215,-0.861747,-0.463171,1.463651,0.336918,0
-11.281267,2.077484,1.066917,0.088627,1.709688,7.896945,1.881094,1
1.385976,-0.89211,2.054507,3.366661,0.335366,2.001899,-0.442575,1
1.706158,-1.125997,1.963452,1.852962,0.909835,2.984882,-0.605128,1
2.158878,-0.010257,2.206906,-1.330358,0.007536,1.676141,0.267904,1
1.52555,-1.150754,1.536398,3.670557,0.005479,0.739473,-1.137915,1
-0.091939,0.020417,0.543405,-4.169117,1.393465,-0.807616,-1.122868,0
-2.323048,1.321861,-0.68838,1.415897,-2.587915,-1.116977,1.099575,1
-2.323048,1.321861,-0.68838,1.415897,-2.587915,-1.116977,1.099575,0
0.520553,0.133851,-1.330115,3.581212,4.204229,-0.024423,-0.451595,0
0.782111,1.068652,2.038432,0.877645,-1.274793,-1.937965,0.59285,1
2.615231,1.074011,0.276479,0.133427,-0.966926,0.176491,0.225917,0
1.495817,-1.553622,-1.022439,2.423009,-0.62501,0.685428,0.115702,0
-1.572596,2.530122,1.643,0.485102,-2.414902,-0.486774,0.66004,1
1.655391,-1.476253,0.130034,2.09864,0.073019,-0.44163,-0.347623,0
-1.302605,-1.804218,2.219753,-0.449487,0.005213,-1.547707,-1.032754,0
2.430558,0.519455,1.921877,0.237183,-0.116577,1.385678,-0.284601,1
-0.807624,-0.435127,0.42215,1.269192,-1.893307,0.435768,-0.066366,1
0.362276,-0.196094,-0.225959,-1.880711,-0.071219,0.072761,-0.948844,1
2.513469,-0.022153,2.093814,-2.336393,-1.212016,1.354267,0.317779,1
-1.333139,1.319123,2.330985,0.572079,0.309906,-2.139656,0.865632,1
0.223974,0.171288,2.600751,-3.24268,0.798431,-0.789705,-0.643609,0
4.488093,-0.876587,1.979324,-0.85634,-0.164789,2.97095,-0.048408,1
4.749397,-0.318483,-5.652409,4.819734,3.627434,0.75881,-0.414264,1
-5.752075,-5.85099,1.935019,0.640196,3.088303,-1.215786,3.442474,0
-2.232747,3.209326,1.751641,2.113418,-1.399215,-4.165083,2.931633,0
3.884142,0.694794,0.811919,0.462619,2.732803,0.550838,-0.225632,0
4.484009,-0.76414,-2.049195,1.047769,1.307915,-0.867709,0.141665,1
-8.290511,-3.455809,0.593838,-1.486938,1.764066,-0.938279,-3.452874,1
2.387836,-0.540245,-1.171199,-2.26104,0.438357,0.401825,0.371191,0
2.701345,0.477921,-0.084857,-0.463883,1.139055,-1.513234,0.371232,1
2.127224,0.591709,-1.171175,2.16511,0.988664,-0.145698,-0.009156,1
2.679721,0.609067,-0.510648,0.225253,0.722363,-0.781254,0.173031,1
2.769113,-0.115068,0.903477,-1.237728,1.81844,0.977884,0.160528,0
1.939691,-1.223608,1.652493,1.956402,0.789233,1.785166,-0.996546,1
2.092315,0.242887,0.998159,-1.601637,0.143211,-1.233373,0.714867,1
2.392411,-0.107868,1.895947,-1.226918,-0.113065,0.476425,-0.123513,1
-0.327117,-0.420913,-5.859421,-0.103601,-0.677686,-0.204416,-0.125599,0
2.177783,-1.190084,-2.785076,-0.124187,-0.671938,0.521099,-0.917743,0
3.042255,0.181823,1.509922,0.364391,1.243128,-0.448714,-0.290694,0
-2.05927,5.333877,-1.799449,0.449312,4.703749,0.661809,0.092434,0
-3.555606,-0.040637,2.949442,5.967922,-0.017261,-1.888444,0.53132,0
2.745734,-0.213938,-2.440591,0.750306,0.238978,1.08239,-0.993299,1
0.511028,2.071183,1.249704,0.735697,-1.391121,-0.413581,-0.060861,1
1.400903,0.155743,-0.571749,-0.890961,1.392791,-0.382346,0.307323,1
3.105013,-1.224915,0.266566,1.399748,-0.559683,1.434302,-0.978515,1
2.557897,0.060486,0.100631,-1.376011,0.504883,-1.94772,1.49151,0
0.496454,-0.624916,0.402106,-0.701692,1.481279,-0.286243,-0.341425,1
0.792796,-2.159247,-5.598259,0.630907,-0.641602,0.32682,-0.584438,0
2.904105,-1.441088,0.946773,0.079363,-1.274553,0.377649,-0.599667,1
5.164792,-0.559682,3.311082,-1.413264,0.994895,2.640893,-0.385232,1
-1.465776,0.879775,-1.520577,-1.996007,-1.722794,-0.707476,1.083031,1
3.67519,-0.803328,-1.143561,-1.594168,0.673698,0.707062,-0.723155,1
-0.472666,-0.98081,-2.216605,-1.855311,0.167922,-1.232966,-0.656549,1
1.514111,2.816242,-0.588711,0.841254,1.923831,-1.265889,0.463592,0
-3.336353,0.803354,-4.235526,-1.438625,0.192741,-0.071294,0.367014,0
2.348027,-0.539883,1.507303,-2.448501,-0.206096,0.153337,-0.487586,1
1.790299,-0.855344,0.544803,1.905075,-1.084493,1.97825,-0.260975,0
-1.517646,0.776267,-1.552572,-2.007686,-1.739738,-0.328065,1.390338,1
2.207161,-1.365167,-2.873281,-0.214466,-0.687839,0.501218,-0.273849,0
3.071633,0.006739,1.421717,0.274113,1.227227,-0.468595,0.3532,0
-2.029892,5.158793,-1.887654,0.359034,4.687848,0.641927,0.736328,0
2.933483,-1.616171,0.858568,-0.010916,-1.290454,0.357767,0.044228,1
5.19417,-0.734766,3.222877,-1.503543,0.978994,2.621012,0.258663,1
3.704568,-0.978412,-1.231766,-1.684447,0.657797,0.68718,-0.07926,1
2.148099,-0.63865,0.507372,-0.171949,0.932442,-0.227782,0.538698,1
1.572708,-2.2401,-1.794371,2.39275,-0.988953,-0.446983,1.356939,0
-0.250226,-1.107391,-6.631354,-0.13386,-1.041628,-1.336827,1.115638,0
0.869687,-2.845725,-6.370192,0.600648,-1.005544,-0.805592,0.656799,0
1.962264,-1.473045,0.167779,-0.453162,2.691452,-0.026828,2.041071,0
2.5485,-0.820241,0.57169,-0.031822,-1.127349,0.804492,0.654377,0
-1.365211,0.608182,-1.756147,-2.129356,-1.754206,-1.206515,1.900583,0
2.149605,0.195033,-3.594252,-2.306124,-0.537048,-1.167962,1.565214,0
1.932537,-1.393969,0.113075,-0.409291,2.630184,-0.114082,1.772977,0
2.518773,-0.741166,0.516986,0.012048,-1.188617,0.717238,0.386282,0
-1.394938,0.687257,-1.81085,-2.085486,-1.815474,-1.293768,1.632488,0
2.119878,0.274109,-3.648956,-2.262254,-0.598316,-1.255215,1.297119,0
0.973025,-1.185525,1.770435,0.825648,-2.308823,1.768649,-0.564201,0
0.810416,-1.053974,1.842054,0.709164,-2.282964,2.237236,-0.3184,0
1.513172,-0.981054,1.689906,3.39911,0.170185,1.005654,-0.53297,1
2.362236,-0.713836,1.437207,-2.533732,-0.198219,0.228627,0.112669,1
