0.283ETA_Epsilon_2-0.27MLogP-0.265SpMin4_Bhm+0.258AATSC0s+0.246Mpe...,0.362GGI9+0.314SpMAD_Dze+0.286ALogp2+0.235SpMin3_Bhp-0.227AVP-2...,0.337BCUTc-1l-0.283ATSC3e+0.274AATS0m+0.229AATS3p-0.222GATS6c...,-0.37nHaaCH-0.37naaCH-0.282AATS3p-0.251maxHBint5-0.247AATS0m...,-0.438SIC4-0.426BIC3+0.261AATSC5c+0.221VR1_Dze+0.206JGT...,-0.332MATS5e_Exp-0.317MATS1c+0.293GATS6c-0.264AATSC7e_Exp-0.251MATS3c...,0.447ATSC1i_Exp-0.409VR1_D_Exp-0.408AATSC3m_Exp+0.284GATS8s_Exp+0.235VR1_Dzv...,-0.357VR1_Dzv-0.332VR1_Dze+0.327AATSC8c-0.294VR1_D_Exp+0.252AATSC5c...,0.416MDEC-13-0.39GATS5e-0.305ALogp2+0.243JGT+0.242AATS3p...,-0.396AATSC7e_Exp+0.342GATS8s_Exp-0.281MATS5e_Exp-0.258ETA_AlphaP+0.228GATS5i...,-0.515ETA_BetaP_Exp+0.376GATS5i-0.33ETA_AlphaP-0.256AATS0m-0.254VR1_D_Exp...,-0.331ETA_BetaP_Exp+0.307AVP-2+0.293GATS8s_Exp-0.287GATS6c+0.286AATSC3m_Exp...,'0.436ATSC7c-0.361MDEC-13-0.306BIC3+0.24 ETA_dEpsilon_D+0.238MATS5e_Exp...',Results
-1.933226,-0.581814,-2.139661,2.544609,0.168956,4.223375,-1.289504,-0.605001,-0.971593,5.73839,-2.436333,-2.291856,-1.162167,C
-0.182135,-2.186349,1.360719,-3.326223,0.067407,0.591841,0.737155,1.473965,-0.19098,-0.131351,-1.249958,0.174038,-0.191471,C
-0.857009,-2.069758,-1.123217,0.576992,-1.618643,-2.434934,-0.307736,0.545502,-0.435821,1.509181,-0.215313,0.209887,-0.534559,K
-0.354715,0.010748,0.872312,-3.223932,-1.332714,0.172856,1.36359,-0.440227,-0.489245,-0.204664,0.096189,-0.258601,-0.241176,C
-0.802932,0.437608,0.279931,1.224325,-0.333216,-0.571578,0.25811,0.111835,1.602156,0.131045,0.366105,-0.84694,0.280745,C
1.871949,-0.90934,-0.234766,-0.502125,-1.969817,-0.493629,-0.848701,1.095431,1.235475,0.209438,0.673112,-2.151986,0.615147,K
-1.370837,0.002167,0.517539,1.05227,-0.426192,-1.089621,0.202002,0.018839,-0.166004,1.283717,-1.057309,1.4586,-0.680014,C
-1.631553,-1.843663,-0.674944,3.403709,0.56095,-0.225883,-0.034224,1.27193,0.262168,1.038041,-0.596821,-0.077696,-0.885091,C
-1.837094,-1.308888,1.220364,-0.701615,-1.075293,0.176118,0.043264,-0.272933,-0.387296,1.849046,1.217674,-1.104682,-0.83354,C
-0.455307,0.114772,0.798307,-3.078514,-1.373276,0.959667,0.942499,-0.502584,-0.41115,0.111537,-0.212868,-0.276269,-0.694783,C
